61521650,1
80033412,1
22680176,11
29819080,5
34271073,6
24697802,4
44703487,4
17926749,8
86868695,1
29130135,7
80233528,11
61460270,4
21979697,4
76692010,3
70165492,7
53662735,2
10149750,4
19708238,3
34034586,8
95489972,8
41707532,9
75173408,10
14352546,11
49686599,7
16604854,3
47413610,1
77873591,9
42282265,8
35849813,10
40080431,10
59137814,12
95047048,11
77671499,9
45054833,8
78327980,10
56614017,6
25058645,10
64269669,9
91817552,10
34684693,9
46808021,12
15283220,4
82410871,6
90932128,3
53234318,6
59171406,11
96825484,1
29887567,12
80068441,6
60558185,5
10880041,9
22883124,4
25539336,12
70704434,6
87614478,8
53975298,3
12348007,3
86200201,8
62045065,2
20666533,5
67583738,3
49785797,9
23418069,7
78902448,10
94690561,6
49353894,7
90171661,7
67333408,12
44883725,9
65766976,12
67818065,11
33954588,2
97555919,5
37346077,9
50031103,12
30158082,11
97771502,6
92803302,11
75021483,2
96258384,12
10659632,2
91686216,1
12110749,3
16274332,2
95695782,10
93765521,7
56487278,5
45041272,4
71571276,1
63483010,2
78886438,12
98229085,11
51002101,1
88388289,8
75678258,4
56432236,7
40246463,5
27353060,7
67737650,2
17075108,1
